suite,dataset,model,method,val_auc,val_ap,val_accuracy,test_auc,test_ap,test_accuracy,loss_tail,evaluated_on_test,seed,wall_time_sec,peak_ram_mb,peak_gpu_mb,peak_cpu_percent,avg_cpu_percent,cpu_user_sec,cpu_system_sec,notes,selection_stage,run_label,quick_mode,compute_device,device_name,torch_version,torch_cuda_version,run_complete
hyperparameter_search,ogbl_collab,gnn,random_search,0.9060734757173291,0.8266564111934321,0.8242360260863046,,,,0.30992171317338946,False,2026,0.40300250495783985,2476.859375,1221.33203125,147.2,93.51153846153845,0.4000000000000341,0.0,"embedding_dim=32, hidden_dim=96, dropout=0.10932832448371436, lr=0.0062908852245340775",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8258703001631049,0.6936939011873732,0.7583893455935634,,,,0.6520740628242493,False,42,0.40309818694368005,2476.859375,1221.33203125,147.4,94.1423076923077,0.4000000000000341,0.0,"embedding_dim=32, hidden_dim=96, dropout=0.13561743266056106, lr=0.001399567099557049",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8454095324878504,0.7346739343331968,0.7743934434421929,,,,0.6585380792617798,False,123,0.40382545813918114,2476.859375,1221.33203125,147.3,98.78846153846155,0.4000000000000341,0.0,"embedding_dim=32, hidden_dim=96, dropout=0.13561743266056106, lr=0.001399567099557049",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.7706753353638239,0.6454819392744253,0.696428125234252,,,,0.6472812712192535,False,456,0.40372515097260475,2476.859375,1221.33203125,147.3,93.73076923076924,0.4000000000000341,0.0,"embedding_dim=32, hidden_dim=96, dropout=0.13561743266056106, lr=0.001399567099557049",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8708459247054124,0.7722089597953781,0.7409609954773744,,,,0.6305125713348388,False,789,0.40293810586445034,2476.859375,1221.33203125,147.3,93.78846153846153,0.4000000000000341,0.0,"embedding_dim=32, hidden_dim=96, dropout=0.13561743266056106, lr=0.001399567099557049",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8359046072165635,0.7013979641415781,0.7664850953249543,,,,0.6552468955516815,False,2026,0.40377572015859187,2476.859375,1221.33203125,147.5,93.29615384615387,0.4000000000000341,0.0,"embedding_dim=32, hidden_dim=96, dropout=0.13561743266056106, lr=0.001399567099557049",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8004511194327942,0.6882292860939935,0.7241323305264736,,,,0.6811834931373596,False,42,0.2340150191448629,2476.859375,699.728515625,228.4,98.17692307692307,0.2300000000000182,0.0,"embedding_dim=16, hidden_dim=96, dropout=0.04891336926325843, lr=0.0010962001141747336",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8283987070601159,0.7249897482366714,0.7167861872516929,,,,0.683486956357956,False,123,0.23377859313040972,2476.859375,699.728515625,228.7,91.2653846153846,0.2300000000000182,0.0,"embedding_dim=16, hidden_dim=96, dropout=0.04891336926325843, lr=0.0010962001141747336",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.7901925397776446,0.6558788999680457,0.7210901776567302,,,,0.6794783592224121,False,456,0.23401886504143476,2476.859375,699.728515625,228.1,99.09615384615383,0.2300000000000182,0.0,"embedding_dim=16, hidden_dim=96, dropout=0.04891336926325843, lr=0.0010962001141747336",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8034455493142934,0.6641527028175354,0.6537567776917118,,,,0.6800930917263031,False,789,0.23559619789011776,2476.859375,699.728515625,227.7,98.56538461538462,0.2400000000000091,0.0,"embedding_dim=16, hidden_dim=96, dropout=0.04891336926325843, lr=0.0010962001141747336",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8473126581119764,0.7446431143322677,0.7601321806051823,,,,0.6819963157176971,False,2026,0.23352872906252742,2476.859375,699.728515625,228.2,90.84615384615383,0.2300000000000182,0.0,"embedding_dim=16, hidden_dim=96, dropout=0.04891336926325843, lr=0.0010962001141747336",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8681848869915453,0.748301762822552,0.7773481422253317,,,,0.4295597732067108,False,42,0.575035905931145,2476.859375,1743.68603515625,182.7,99.84615384615383,0.5799999999999841,0.009999999999999787,"embedding_dim=48, hidden_dim=32, dropout=0.27542353212574844, lr=0.003961147623299825",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8610637445076892,0.7487524895661737,0.7648109742385247,,,,0.5030095010995865,False,123,0.5743770690169185,2476.859375,1743.68603515625,101.3,96.45769230769231,0.5699999999999932,0.0,"embedding_dim=48, hidden_dim=32, dropout=0.27542353212574844, lr=0.003961147623299825",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8641877627987483,0.7547179620574632,0.7414857199970015,,,,0.4940748542547226,False,456,0.5739043368957937,2476.859375,1743.68603515625,101.3,96.63076923076922,0.5699999999999932,0.0,"embedding_dim=48, hidden_dim=32, dropout=0.27542353212574844, lr=0.003961147623299825",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8819924201118433,0.7722052191714136,0.7587391619399815,,,,0.5489901095628739,False,789,0.5751543489750475,2477.296875,1743.68603515625,101.1,96.32692307692308,0.5699999999999932,0.0,"embedding_dim=48, hidden_dim=32, dropout=0.27542353212574844, lr=0.003961147623299825",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8763024021370082,0.7713270602084988,0.7437033057644736,,,,0.5344074070453644,False,2026,0.5746170689817518,2477.296875,1743.68603515625,190.0,96.31923076923077,0.5799999999999841,0.0,"embedding_dim=48, hidden_dim=32, dropout=0.27542353212574844, lr=0.003961147623299825",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8522177022168963,0.735217943916103,0.7563029409559981,,,,0.6078533053398132,False,42,0.40297413617372513,2477.296875,1221.33203125,147.4,99.26923076923077,0.39999999999997726,0.0,"embedding_dim=32, hidden_dim=96, dropout=0.27325516085768875, lr=0.002242326919056276",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8761987470041941,0.7807050050457071,0.7484133330001749,,,,0.6164846956729889,False,123,0.40349619509652257,2477.296875,1221.33203125,147.6,98.83846153846154,0.39999999999997726,0.0,"embedding_dim=32, hidden_dim=96, dropout=0.27325516085768875, lr=0.002242326919056276",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8075340719659144,0.6769982019115524,0.7353889208165713,,,,0.5975948572158813,False,456,0.40333417104557157,2477.296875,1221.33203125,147.4,93.58461538461539,0.39999999999997726,0.0,"embedding_dim=32, hidden_dim=96, dropout=0.27325516085768875, lr=0.002242326919056276",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8459231839591239,0.7323285610223031,0.7286174758251918,,,,0.5631819784641265,False,789,0.4029803539160639,2477.296875,1221.33203125,147.4,93.82692307692308,0.39999999999997726,0.0,"embedding_dim=32, hidden_dim=96, dropout=0.27325516085768875, lr=0.002242326919056276",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8568904193296053,0.7279493654903095,0.7780540216386397,,,,0.6080712258815766,False,2026,0.40354496194049716,2477.296875,1221.33203125,147.5,94.06153846153848,0.39999999999997726,0.0,"embedding_dim=32, hidden_dim=96, dropout=0.27325516085768875, lr=0.002242326919056276",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8405617595366486,0.7282897814046455,0.668836360910522,,,,0.6800547778606415,False,42,0.40367189585231245,2477.296875,1221.26953125,147.5,99.16153846153846,0.40999999999996817,0.0,"embedding_dim=32, hidden_dim=64, dropout=0.0489289493446801, lr=0.000865836895470935",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8432666329638506,0.7255389311960723,0.6570987731440994,,,,0.6824125230312348,False,123,0.4035061791073531,2477.296875,1221.26953125,147.7,99.23846153846154,0.39999999999997726,0.0,"embedding_dim=32, hidden_dim=64, dropout=0.0489289493446801, lr=0.000865836895470935",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8421421951767526,0.7449986075085527,0.765335698758152,,,,0.6777344226837159,False,456,0.4040813008323312,2477.296875,1221.26953125,293.9,99.13076923076925,0.39999999999997726,0.009999999999999787,"embedding_dim=32, hidden_dim=64, dropout=0.0489289493446801, lr=0.000865836895470935",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8092196712935223,0.6772169079873569,0.6519514754753755,,,,0.6760722398757935,False,789,0.4038535871077329,2477.296875,1221.26953125,147.4,93.83846153846154,0.39999999999997726,0.0,"embedding_dim=32, hidden_dim=64, dropout=0.0489289493446801, lr=0.000865836895470935",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,ogbl_collab,gnn,random_search,0.8573672605019639,0.7525532993543589,0.7687339146947852,,,,0.6832995414733887,False,2026,0.4034086740575731,2477.296875,1221.26953125,147.6,94.18846153846154,0.39999999999997726,0.0,"embedding_dim=32, hidden_dim=64, dropout=0.0489289493446801, lr=0.000865836895470935",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
