suite,dataset,model,method,val_auc,val_ap,val_accuracy,test_auc,test_ap,test_accuracy,loss_tail,evaluated_on_test,seed,wall_time_sec,peak_ram_mb,peak_gpu_mb,peak_cpu_percent,avg_cpu_percent,cpu_user_sec,cpu_system_sec,notes,selection_stage
hyperparameter_search,movielens_100k,dnn,grid_search,0.6838343124999999,0.6406146127165662,0.6005,,,,0.6726109445095062,False,42,0.3348721000365913,685.31640625,0.0,293.0,7.982258064516129,0.59375,0.71875,"embedding_dim=16, hidden_dim=96, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.63743390625,0.5826360301819069,0.541375,,,,0.6607293665409089,False,123,0.34110099996905774,685.31640625,0.0,208.3,6.511290322580645,0.5625,0.5625,"embedding_dim=16, hidden_dim=96, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.575964375,0.541365346500075,0.505125,,,,0.6734867870807648,False,456,0.33416399999987334,685.37890625,0.0,312.5,9.766129032258064,0.578125,0.6875,"embedding_dim=16, hidden_dim=96, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.64024240625,0.5948782316301591,0.558375,,,,0.6711964130401611,False,789,0.344398699933663,685.37890625,0.0,390.6,7.875806451612903,0.5625,0.65625,"embedding_dim=16, hidden_dim=96, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5141230625,0.49598948053302183,0.473875,,,,0.6641714990139007,False,2026,0.33734199998434633,685.37890625,0.0,488.3,11.132258064516131,0.609375,0.5625,"embedding_dim=16, hidden_dim=96, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5389528124999999,0.5075375654829394,0.479,,,,0.2881161242723465,False,42,0.3318176999455318,685.37890625,0.0,390.6,6.3,0.546875,0.703125,"embedding_dim=16, hidden_dim=96, dropout=0.35, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.525660375,0.5042131001865965,0.482,,,,0.3003330171108246,False,123,0.33805470005609095,685.37890625,0.0,390.6,9.556451612903228,0.578125,0.71875,"embedding_dim=16, hidden_dim=96, dropout=0.35, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.51603078125,0.497604346612887,0.483125,,,,0.3032222598791122,False,456,0.3366421000100672,685.37890625,0.0,416.7,19.320967741935483,0.453125,0.6875,"embedding_dim=16, hidden_dim=96, dropout=0.35, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.50805259375,0.4958473019949476,0.482375,,,,0.29461610317230225,False,789,0.3385210999986157,685.37890625,0.0,390.6,11.025806451612906,0.546875,0.734375,"embedding_dim=16, hidden_dim=96, dropout=0.35, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.48983884375,0.4842411329314145,0.484375,,,,0.2862877696752548,False,2026,0.3386158000212163,685.37890625,0.0,390.6,7.875806451612908,0.515625,0.765625,"embedding_dim=16, hidden_dim=96, dropout=0.35, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.6324631875000001,0.5754867752884147,0.518625,,,,0.6505763232707977,False,42,0.2819696000078693,685.73046875,0.0,390.6,7.980645161290323,0.453125,0.53125,"embedding_dim=32, hidden_dim=32, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.64245125,0.5865863967766554,0.549875,,,,0.6481697082519531,False,123,0.276086000027135,685.73046875,0.0,416.7,8.401612903225807,0.546875,0.625,"embedding_dim=32, hidden_dim=32, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.64702975,0.587662908131578,0.564,,,,0.6686207592487335,False,456,0.2828278000233695,685.73046875,0.0,0.0,0.0,0.390625,0.4375,"embedding_dim=32, hidden_dim=32, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.6229313125,0.5706892258992529,0.573625,,,,0.6585340082645417,False,789,0.2799957999959588,685.73046875,0.0,0.0,0.0,0.390625,0.640625,"embedding_dim=32, hidden_dim=32, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.6442296875,0.5929482918380735,0.605625,,,,0.6681564807891845,False,2026,0.28068760002497584,685.73046875,0.0,0.0,0.0,0.421875,0.640625,"embedding_dim=32, hidden_dim=32, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.53757,0.5089278201875809,0.481125,,,,0.2833048075437546,False,42,0.2754768000449985,685.73046875,0.0,0.0,0.0,0.515625,0.65625,"embedding_dim=32, hidden_dim=32, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5193528125,0.4995812372886607,0.4825,,,,0.29380978345870973,False,123,0.27911610004957765,685.73046875,0.0,0.0,0.0,0.578125,0.515625,"embedding_dim=32, hidden_dim=32, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5466651875,0.5130867611474925,0.48325,,,,0.29965267777442933,False,456,0.28051339997909963,685.73046875,0.0,104.2,1.6806451612903226,0.40625,0.546875,"embedding_dim=32, hidden_dim=32, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.54340934375,0.5131650150698336,0.4825,,,,0.29355059564113617,False,789,0.2782180999638513,685.73046875,0.0,488.3,7.875806451612903,0.453125,0.625,"embedding_dim=32, hidden_dim=32, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.51365684375,0.494876259746805,0.48325,,,,0.28473109006881714,False,2026,0.27772409992758185,685.73046875,0.0,195.3,3.1500000000000004,0.390625,0.453125,"embedding_dim=32, hidden_dim=32, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.64385575,0.5894460490382196,0.54425,,,,0.6622090578079224,False,42,0.309408999979496,685.73046875,0.0,0.0,0.0,0.578125,0.5,"embedding_dim=32, hidden_dim=32, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.64078715625,0.5891226039040127,0.56375,,,,0.657870602607727,False,123,0.3046428000088781,685.73046875,0.0,390.6,12.600000000000001,0.546875,0.640625,"embedding_dim=32, hidden_dim=32, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.6520531875,0.5980886924360567,0.593875,,,,0.6738512694835663,False,456,0.3009948000544682,685.73046875,0.0,0.0,0.0,0.46875,0.609375,"embedding_dim=32, hidden_dim=32, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.61324396875,0.5639419368275962,0.58175,,,,0.6657729625701905,False,789,0.30642660008743405,685.73046875,0.0,104.2,3.2564516129032257,0.375,0.765625,"embedding_dim=32, hidden_dim=32, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.6398431249999998,0.5970610422261511,0.614375,,,,0.6760216653347015,False,2026,0.30220270005520433,685.73046875,0.0,97.7,3.151612903225806,0.484375,0.5625,"embedding_dim=32, hidden_dim=32, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5376548124999999,0.50781720730243,0.478,,,,0.2968020707368851,False,42,0.31003940000664443,685.73046875,0.0,312.5,6.720967741935484,0.40625,0.640625,"embedding_dim=32, hidden_dim=32, dropout=0.35, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5199457187500001,0.49536415335413797,0.481375,,,,0.303981351852417,False,123,0.30620869994163513,685.73046875,0.0,195.3,4.725806451612905,0.578125,0.484375,"embedding_dim=32, hidden_dim=32, dropout=0.35, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5550798125,0.5208156878271526,0.47925,,,,0.31350856721401216,False,456,0.300094100064598,685.73046875,0.0,0.0,0.0,0.421875,0.734375,"embedding_dim=32, hidden_dim=32, dropout=0.35, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5276549687500001,0.5065589342638022,0.48325,,,,0.3030561894178391,False,789,0.3024889000225812,685.73046875,0.0,293.0,4.725806451612903,0.546875,0.421875,"embedding_dim=32, hidden_dim=32, dropout=0.35, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5163196875,0.49467817800096175,0.48,,,,0.2973295390605927,False,2026,0.3043254999211058,685.73046875,0.0,488.3,11.13225806451613,0.40625,0.71875,"embedding_dim=32, hidden_dim=32, dropout=0.35, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.6601707812500001,0.6057740323632073,0.57575,,,,0.624393779039383,False,42,0.31627640000078827,688.47265625,0.0,488.3,20.475806451612904,0.578125,0.703125,"embedding_dim=32, hidden_dim=96, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.65451965625,0.5939847165122071,0.55175,,,,0.6241460323333741,False,123,0.31114950007759035,688.47265625,0.0,0.0,0.0,0.453125,0.71875,"embedding_dim=32, hidden_dim=96, dropout=0.0, lr=0.000630957344480193",validation_search
